feature,importance
CO2(tCO2),1209
Lagging_Current_Reactive.Power_kVarh,1108
avg_power_factor,1002
Lagging_Current_Power_Factor,928
total_reactive_power,867
power_factor_diff,554
reactive_power_ratio,417
dayofyear,276
NSM,135
day,129
Leading_Current_Reactive_Power_kVarh,126
dayofyear_sin,125
dayofyear_cos,112
Leading_Current_Power_Factor,105
Load_Type_encoded,75
dayofweek,65
hour_cos,65
weekofyear,50
dayofweek_sin,50
month,36
hour_sin,34
dayofweek_cos,32
time_of_day_encoded,26
month_sin,25
month_cos,24
Day_of_week_encoded,19
LoadType_Maximum_Load,17
hour,9
is_weekend,7
TimeOfDay_Evening,7
LoadType_Light_Load,7
Season_Summer,4
TimeOfDay_Afternoon,4
season_encoded,4
LoadType_Medium_Load,3
Season_Spring,1
TimeOfDay_Morning,1
Week_Weekday,0
Week_Weekend,0
Season_Fall,0
Season_Winter,0
WeekStatus_encoded,0
quarter,0
TimeOfDay_Night,0
