date,Lagging_Current_Reactive.Power_kVarh,Leading_Current_Reactive_Power_kVarh,CO2(tCO2),Lagging_Current_Power_Factor,Leading_Current_Power_Factor,NSM,WeekStatus,Day_of_week,Load_Type
10/06/2024 12:00,8.5,2.5,0.01,60.5,95.5,43200,Weekday,Monday,Light_Load
10/06/2024 12:15,9.2,3.1,0.01,58.3,94.2,44100,Weekday,Monday,Medium_Load
10/06/2024 12:30,7.8,2.8,0.01,62.1,96.1,45000,Weekday,Monday,Light_Load
10/06/2024 12:45,8.9,3.3,0.01,59.7,93.8,45900,Weekday,Monday,Medium_Load
10/06/2024 13:00,8.3,2.9,0.01,61.2,95.3,46800,Weekday,Monday,Maximum_Load
10/06/2024 13:15,9.5,3.5,0.01,57.8,92.9,47700,Weekday,Monday,Medium_Load
10/06/2024 13:30,8.1,2.7,0.01,62.5,96.5,48600,Weekday,Monday,Light_Load
10/06/2024 13:45,9.1,3.2,0.01,59.1,94.1,49500,Weekday,Monday,Maximum_Load
10/06/2024 14:00,8.7,3.0,0.01,60.3,95.0,50400,Weekday,Monday,Medium_Load
10/06/2024 14:15,9.3,3.4,0.01,58.5,93.5,51300,Weekday,Monday,Maximum_Load
